Entity,Code,Year,per_capita_embodied_emissions
Australia,AUS,2013,0.5242982096824089
Austria,AUT,2013,0.35320052585501216
Belgium,BEL,2013,0.9707365581823235
Brazil,BRA,2013,2.70960475270844
Bulgaria,BGR,2013,0.08890539391155063
Canada,CAN,2013,0.36339942766817623
China,CHN,2013,0.13878057574753058
Croatia,HRV,2013,0.12014251779296788
Cyprus,CYP,2013,0.23136592750942347
Czechia,CZE,2013,0.19641340867305343
Denmark,DNK,2013,0.4985994846933978
Estonia,EST,2013,0.38987010830256646
Finland,FIN,2013,0.394800384787579
France,FRA,2013,0.42314231101254857
Germany,DEU,2013,0.5106974085671546
Greece,GRC,2013,0.24388700889965248
Hungary,HUN,2013,0.11009871487442863
India,IND,2013,0.08373072216849162
Indonesia,IDN,2013,1.2387404376571782
Ireland,IRL,2013,0.4586721375159794
Italy,ITA,2013,0.42557300641061074
Japan,JPN,2013,0.38019269624120355
Latvia,LVA,2013,0.7093442713968615
Lithuania,LTU,2013,0.20351171812684224
Luxembourg,LUX,2013,2.7797665561732003
Malta,MLT,2013,0.3198645205114973
Mexico,MEX,2013,0.3178289716269554
Netherlands,NLD,2013,0.9530305493700738
Norway,NOR,2013,0.7115849376850132
Poland,POL,2013,0.14517721915259313
Portugal,PRT,2013,0.30804273307677194
Romania,ROU,2013,0.06881758342068148
Russia,RUS,2013,0.291649507030426
Slovakia,SVK,2013,0.20032346008090174
Slovenia,SVN,2013,0.4738888113047138
South Africa,ZAF,2013,0.0877797549322356
South Korea,KOR,2013,0.42351115675564843
Spain,ESP,2013,0.4200893850593502
Sweden,SWE,2013,0.4097284027234288
Switzerland,CHE,2013,0.6448464799346523
Taiwan,TWN,2013,1.084141761462934
Turkey,TUR,2013,0.18818998592044253
United Kingdom,GBR,2013,0.3912465343571888
United States,USA,2013,0.34654271726487007
